Id,SalePrice
2,125207.30142661021
4,285849.69727670745
6,204084.49335257494
7,200393.85707142498
17,211180.60195024352
18,339972.73115969053
22,176941.079866819
27,109062.97521064871
31,94896.23604835935
36,137571.26100624737
39,378820.6621845313
40,227782.11827566178
42,321237.3721942832
46,198571.1133421805
53,167547.0812013045
58,179062.54844936106
61,314178.76565309695
72,256943.6803000335
79,105462.72595431209
80,219850.79569224385
82,164115.0817172528
83,91579.6859661325
85,141269.51981218634
88,128239.1384406806
92,280418.05309820443
93,268957.5653234676
95,173174.43539906808
102,191582.90000735913
103,170594.28910441083
106,231739.01156226854
107,157743.97810490566
110,222514.893128132
114,188479.37849303175
116,188051.30522371636
117,155634.39956747365
118,140603.69764970665
125,162017.47264466656
126,170760.69989060218
127,140174.00460141955
128,207665.7610994214
134,145319.79283200274
135,162601.97845901578
137,249794.43051878625
143,138612.92831104627
147,132488.86482457252
148,192554.39484107634
150,113365.24401198997
156,141977.60508361744
157,131934.33810642437
159,135139.38347472495
161,273117.7611711696
167,141046.64452730122
170,113920.67754916154
171,69338.25183910812
175,101107.1830842725
179,136635.73317865466
181,112010.89927125841
186,196381.76046282414
193,190495.75947290193
194,82198.51790932307
206,116695.4943161615
208,118663.1257409096
210,169242.5388105565
211,90350.51861192797
212,114663.2278516817
214,84503.22109340662
215,103134.86886981037
217,145754.9542731964
222,154200.23830119573
227,154837.63815824737
228,170058.43522597518
233,258229.94477007168
235,118215.47159988052
238,140114.93568227842
241,170192.35803419116
252,184145.63784479522
253,186322.2498517212
256,149492.71012430405
257,164557.40084255984
258,197468.05432890178
259,182938.31827493655
261,145629.09111048642
263,125398.34093341659
266,233815.00089658564
267,226546.31858910984
270,149804.1231572618
271,258036.52318687682
276,110350.92956511774
285,142917.02690560106
288,43628.50806241692
289,133466.4543676994
290,123241.29161895078
291,137632.5395209939
292,111814.1242177528
293,190812.3376753173
294,220077.84527357423
295,175956.37115882902
304,136591.61199526847
322,374984.0260449989
326,174868.56027392062
327,82592.37029745913
328,128597.61767982224
331,73890.46647044254
332,67064.4315379165
333,80518.07535995684
